Epoch,TrainLoss,ValLoss,TestLoss,ValAcc,TestAcc
1,0.7275958490371705,0.6399959933757782,0.7032242298126221,0.6,0.56
2,0.6393205404281617,0.5912464022636413,0.6245241832733154,0.68,0.635
3,0.6279650461673737,0.606765730381012,0.5767734146118164,0.69,0.71
4,0.6362356758117675,0.6318699109554291,0.6197313761711121,0.61,0.61
5,0.5934559154510498,0.5733420157432556,0.5169191265106201,0.72,0.73
6,0.59873814702034,0.623542115688324,0.5308014082908631,0.71,0.7
7,0.5863965511322021,0.629248342514038,0.531110053062439,0.68,0.72
8,0.6431333518028259,0.6263962459564208,0.6098882603645325,0.7,0.64
9,0.6191301727294922,0.6414294052124023,0.6015754103660583,0.62,0.585
10,0.5951603960990905,0.6007343673706055,0.5361254155635834,0.68,0.67
11,0.6092573404312134,0.6190023469924927,0.5564819979667663,0.7,0.7
12,0.607676442861557,0.5681489503383637,0.5283399140834808,0.72,0.675
13,0.6092123627662659,0.6105366468429565,0.5750738954544068,0.7,0.665
14,0.5912854850292206,0.5852778720855712,0.5149952745437623,0.68,0.665
15,0.5581742978096008,0.554139107465744,0.5273238849639893,0.72,0.695
16,0.5653377974033356,0.5719987916946411,0.5607113146781921,0.65,0.655
17,0.5786153292655944,0.5697396278381348,0.5400259065628051,0.69,0.675
18,0.563352700471878,0.5969929218292236,0.5080976057052612,0.71,0.725
19,0.567950211763382,0.6075405025482178,0.5156088495254516,0.65,0.69
20,0.5535390913486481,0.5578645205497742,0.5227893304824829,0.73,0.72
21,0.5722613525390625,0.572812557220459,0.5449464654922486,0.68,0.645
22,0.5616375803947449,0.6059944009780884,0.4802978038787842,0.68,0.755
23,0.5731107938289642,0.5978812456130982,0.5122070932388305,0.69,0.765
24,0.5613404810428619,0.5986849451065064,0.5129192018508911,0.71,0.725
25,0.5455090892314911,0.6273161602020264,0.5167799878120423,0.69,0.755
26,0.5594391059875489,0.5828380727767944,0.48060850143432615,0.74,0.775
27,0.5672998857498169,0.5419469022750855,0.5365106248855591,0.76,0.72
28,0.5336867928504944,0.57297194480896,0.5547646188735962,0.72,0.69
29,0.5652061152458191,0.5394798469543457,0.5117653512954712,0.73,0.71
30,0.5266722404956817,0.5442007160186768,0.535233143568039,0.73,0.715
31,0.5327118158340454,0.5435821056365967,0.5435461688041687,0.75,0.725
32,0.6383162355422973,0.5908726739883423,0.5837828278541565,0.69,0.645
33,0.5897520768642426,0.5478925609588623,0.5749655055999756,0.71,0.645
34,0.6044109773635864,0.5783538103103638,0.5624248504638671,0.77,0.715
35,0.6011387121677398,0.5530589175224304,0.5165664792060852,0.76,0.73
36,0.5735266995429993,0.5688464629650116,0.5359657096862793,0.75,0.73
37,0.5807679378986359,0.5944296741485595,0.5605314445495605,0.71,0.66
38,0.5791830718517303,0.5954803466796875,0.5498617696762085,0.69,0.69
39,0.5394693267345428,0.5730723309516906,0.5162443828582763,0.68,0.69
40,0.539437198638916,0.5988740885257721,0.4993464112281799,0.73,0.75
41,0.5332653951644898,0.5991458296775818,0.5037275338172913,0.73,0.76
42,0.5280801212787628,0.6265881180763244,0.5134245014190674,0.65,0.7
43,0.5476173651218414,0.638271086215973,0.638592256307602,0.73,0.705
44,0.5762853837013244,0.5609190559387207,0.5030933320522308,0.7,0.705
45,0.5324279010295868,0.5482056379318238,0.4816788876056671,0.75,0.695
46,0.5353716790676117,0.5353615450859069,0.49831031322479247,0.7,0.73
47,0.5582256066799164,0.6120510101318359,0.5129338574409484,0.67,0.76
48,0.5572404766082764,0.6167449188232422,0.5141281986236572,0.66,0.755
49,0.5426735734939575,0.5567121315002441,0.5139969873428345,0.74,0.74
50,0.5181838822364807,0.5582672929763794,0.5058809781074524,0.72,0.755
51,0.5325790643692017,0.5404738473892212,0.5185294222831726,0.74,0.745
52,0.552385745048523,0.5691900110244751,0.509797933101654,0.72,0.77
53,0.5246669149398804,0.6016864538192749,0.5817641544342042,0.64,0.67
54,0.5444761002063752,0.5636327028274536,0.49838263988494874,0.73,0.76
55,0.5323906564712524,0.5573234677314758,0.4951192784309387,0.73,0.76
56,0.49896623611450197,0.5660957050323486,0.5146236276626587,0.73,0.745
57,0.507907464504242,0.5799439239501953,0.5101614880561829,0.71,0.715
58,0.5091408860683441,0.5322651147842408,0.5317289042472839,0.71,0.73
59,0.5418278384208679,0.557814645767212,0.5233829367160797,0.72,0.75
60,0.5328519344329834,0.5546387147903442,0.5202632832527161,0.74,0.73
61,0.5292960393428803,0.5636406326293946,0.5303479421138764,0.69,0.71
62,0.5278257429599762,0.5363306212425232,0.49963639259338377,0.73,0.76
63,0.5161536073684693,0.578400651216507,0.5043868136405945,0.65,0.79
64,0.5467193055152894,0.5553996276855468,0.4975319933891296,0.72,0.745
65,0.5237686777114868,0.5721029257774353,0.5324212718009949,0.65,0.67
66,0.5168498623371124,0.6073665344715118,0.5506635272502899,0.67,0.77
67,0.5373303413391113,0.5579868507385254,0.60296213388443,0.7,0.645
68,0.5558666121959687,0.5630420768260955,0.5142857170104981,0.72,0.705
69,0.5490313017368317,0.5469962310791016,0.5328021192550659,0.75,0.7
70,0.5411805772781372,0.5418252611160278,0.49691278219223023,0.75,0.75
71,0.5531319916248322,0.5800810956954956,0.5365683126449585,0.68,0.68
72,0.5279883337020874,0.5627434778213501,0.5148321866989136,0.71,0.725
73,0.5475215649604798,0.6349197387695312,0.6117366647720337,0.6,0.6
74,0.5389293229579926,0.5815606999397278,0.5243577766418457,0.76,0.755
75,0.5721141839027405,0.592120714187622,0.5735429787635803,0.68,0.675
76,0.534424877166748,0.5560946750640869,0.5193707835674286,0.75,0.745
77,0.5089786803722381,0.538868328332901,0.5221205067634582,0.74,0.74
78,0.5156162762641907,0.5963576531410217,0.526754742860794,0.72,0.78
79,0.516840900182724,0.6019520378112793,0.5530002105236054,0.67,0.675
80,0.5289133477210999,0.5985570573806762,0.5253546833992004,0.66,0.705
81,0.5416145312786103,0.5424628973007202,0.5287761723995209,0.73,0.685
82,0.5512576174736022,0.5743421804904938,0.4941580772399902,0.69,0.77
83,0.511198228597641,0.5382685661315918,0.48274672269821167,0.72,0.765
84,0.5045581030845642,0.5641301250457764,0.5337759125232696,0.72,0.735
85,0.4913338112831116,0.6122783470153809,0.5541238117218018,0.67,0.705
86,0.49975175857543946,0.5464145374298096,0.4831618142127991,0.73,0.755
87,0.4949768888950348,0.5272162342071534,0.5319575977325439,0.71,0.72
88,0.49742736339569094,0.5244735860824585,0.47474929332733157,0.74,0.755
89,0.4780352783203125,0.5540782690048218,0.4587992751598358,0.71,0.77
90,0.4838038396835327,0.524299054145813,0.5022040438652039,0.73,0.73
91,0.5403869891166687,0.5661315393447875,0.5283082199096679,0.71,0.715
92,0.5114143180847168,0.5922540593147277,0.5255436944961548,0.73,0.745
93,0.48806133508682253,0.5472257256507873,0.5023303985595703,0.73,0.735
94,0.5473615539073944,0.652515504360199,0.631066358089447,0.67,0.67
95,0.5710041809082032,0.5778613471984864,0.5634986639022828,0.65,0.675
96,0.5151081800460815,0.5610148096084595,0.5351073837280274,0.7,0.695
97,0.5262859570980072,0.5489365792274475,0.5184832096099854,0.73,0.71
98,0.5316909742355347,0.5275099074840546,0.5343821001052856,0.72,0.69
99,0.49879474997520445,0.5366461706161499,0.5283100914955139,0.74,0.735
100,0.5001207602024078,0.5371715271472931,0.5251744246482849,0.73,0.75
101,0.48072396039962767,0.5389549469947815,0.5110749578475953,0.75,0.74
102,0.4744447410106659,0.553718581199646,0.5267076170444489,0.73,0.72
103,0.48852423667907713,0.5485615754127502,0.5203379082679749,0.72,0.725
104,0.472723525762558,0.5251187586784363,0.5045619535446167,0.75,0.745
105,0.4902842378616333,0.5822478532791138,0.531779100894928,0.73,0.765
106,0.470802241563797,0.538935306072235,0.5171580982208251,0.71,0.745
107,0.44777637481689453,0.538930377960205,0.5216649842262268,0.73,0.735
108,0.4586763334274292,0.5712439894676209,0.5136339116096497,0.72,0.72
109,0.4786261248588562,0.5526881885528564,0.5059224724769592,0.74,0.76
110,0.4509921491146088,0.5728339576721191,0.545358555316925,0.74,0.735
111,0.4656084430217743,0.5602321124076843,0.5318100810050964,0.76,0.74
112,0.44306230545043945,0.5756462621688843,0.5568705296516419,0.73,0.73
113,0.46159695982933047,0.5579775190353393,0.49977651596069333,0.73,0.76
114,0.4783960723876953,0.5701075839996338,0.5208112025260925,0.69,0.72
115,0.4587706744670868,0.5587391114234924,0.5204656672477722,0.72,0.725
116,0.43860814213752747,0.5228266143798828,0.5382882225513458,0.75,0.735
117,0.4357673931121826,0.619894471168518,0.5838069629669189,0.66,0.665
118,0.46189387679100036,0.5523752450942994,0.5316603469848633,0.73,0.735
119,0.49600250482559205,0.5251654767990113,0.5330521428585052,0.74,0.725
120,0.44448041677474975,0.5454969477653503,0.5353460526466369,0.75,0.735
121,0.4410441946983337,0.5506913995742798,0.5567973756790161,0.74,0.73
122,0.47159958124160767,0.5450849151611328,0.5284374666213989,0.73,0.725
123,0.4463214874267578,0.552185926437378,0.5480261182785034,0.74,0.72
124,0.4521065938472748,0.5600001573562622,0.5286523735523224,0.74,0.725
125,0.4356115436553955,0.5866160202026367,0.5737282526493073,0.7,0.75
126,0.4606962728500366,0.5232585787773132,0.5247958898544312,0.73,0.76
127,0.4348548114299774,0.519940824508667,0.5155526661872863,0.73,0.715
128,0.46004778385162354,0.5598539304733277,0.6178592622280121,0.72,0.7
129,0.4415412223339081,0.545698938369751,0.5569854080677032,0.73,0.725
130,0.4259035158157349,0.5526486897468567,0.5570474195480347,0.71,0.725
131,0.4356574726104736,0.5364281749725341,0.5188920509815216,0.73,0.73
132,0.42726679861545563,0.5370702278614045,0.5142008376121521,0.73,0.715
133,0.45989470958709716,0.5819080400466919,0.5528583788871765,0.74,0.73
134,0.46192185044288636,0.5492124700546265,0.5208394074440003,0.73,0.72
135,0.4361580014228821,0.6301190900802612,0.5698544836044311,0.68,0.735
